Club id,Country id
1,1
1,1
12,1
44,1
44,1
44,1
53,1
53,1
66,1
66,1
94,1
94,1
94,1
102,1
102,1
102,1
102,1
117,1
129,1
129,1
129,1
144,1
215,1
215,1
215,1
221,1
2,2
150,2
150,2
201,2
201,2
210,2
259,2
3,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
9,17
9,17
9,17
9,17
9,17
9,17
9,17
9,17
9,17
9,17
16,17
16,17
16,17
16,17
16,17
16,17
16,17
16,17
16,17
16,17
20,17
20,17
20,17
20,17
20,17
20,17
27,17
27,17
27,17
27,17
27,17
27,17
27,17
27,17
27,17
27,17
27,17
27,17
38,17
38,17
38,17
38,17
38,17
38,17
38,17
38,17
38,17
38,17
40,17
40,17
48,17
48,17
48,17
54,17
54,17
54,17
54,17
54,17
54,17
61,17
61,17
61,17
61,17
61,17
61,17
63,17
63,17
63,17
70,17
70,17
95,17
95,17
95,17
95,17
95,17
95,17
104,17
104,17
104,17
104,17
112,17
112,17
135,17
137,17
137,17
152,17
152,17
152,17
153,17
153,17
155,17
164,17
164,17
167,17
167,17
185,17
186,17
186,17
204,17
224,17
224,17
279,17
287,17
296,17
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
30,6
30,6
30,6
30,6
30,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
31,6
52,6
52,6
57,6
57,6
57,6
67,6
67,6
67,6
67,6
92,6
92,6
121,6
121,6
148,6
211,6
211,6
228,6
228,6
239,6
239,6
239,6
242,6
245,6
252,6
288,6
7,25
11,25
11,25
11,25
11,25
11,25
11,25
11,25
11,25
11,25
11,25
11,25
11,25
14,25
14,25
14,25
14,25
14,25
14,25
14,25
36,25
36,25
36,25
36,25
36,25
36,25
36,25
36,25
68,25
68,25
68,25
68,25
68,25
68,25
68,25
68,25
77,25
77,25
77,25
77,25
77,25
79,25
79,25
79,25
79,25
79,25
86,25
86,25
86,25
96,25
96,25
96,25
96,25
96,25
96,25
96,25
96,25
96,25
96,25
96,25
96,25
105,25
105,25
105,25
110,25
110,25
116,25
116,25
170,25
170,25
177,25
177,25
177,25
196,25
212,25
220,25
238,25
254,25
254,25
254,25
254,25
10,12
10,12
10,12
10,12
10,12
10,12
10,12
15,12
15,12
15,12
15,12
15,12
34,12
34,12
34,12
34,12
41,12
42,12
42,12
42,12
42,12
45,12
45,12
45,12
45,12
45,12
45,12
45,12
45,12
45,12
45,12
45,12
45,12
45,12
45,12
45,12
46,12
46,12
46,12
46,12
46,12
46,12
46,12
69,12
69,12
69,12
73,12
73,12
73,12
81,12
81,12
81,12
88,12
88,12
88,12
88,12
88,12
88,12
88,12
113,12
113,12
123,12
123,12
124,12
127,12
127,12
154,12
154,12
163,12
163,12
184,12
184,12
184,12
184,12
199,12
276,12
276,12
293,12
13,23
13,23
13,23
13,23
39,23
39,23
39,23
39,23
39,23
39,23
39,23
39,23
39,23
107,23
107,23
107,23
107,23
107,23
191,23
216,23
216,23
216,23
250,23
17,4
60,4
60,4
130,4
134,4
134,4
143,4
149,4
166,4
198,4
217,4
18,15
18,15
18,15
18,15
18,15
18,15
43,15
108,15
108,15
157,15
219,15
267,15
19,9
83,9
85,9
85,9
85,9
85,9
97,9
100,9
100,9
128,9
128,9
128,9
128,9
128,9
168,9
172,9
261,9
261,9
261,9
282,9
23,21
23,21
243,21
243,21
295,21
297,21
24,20
24,20
25,20
25,20
32,20
47,20
47,20
126,20
126,20
151,20
171,20
171,20
197,20
197,20
200,20
200,20
255,20
28,22
28,22
28,22
28,22
140,22
158,22
158,22
187,22
187,22
187,22
187,22
29,13
29,13
29,13
84,13
139,13
139,13
159,13
160,13
160,13
183,13
241,13
244,13
244,13
246,13
246,13
33,29
33,29
55,29
55,29
55,29
55,29
55,29
55,29
55,29
55,29
65,29
65,29
72,29
80,29
80,29
80,29
80,29
80,29
80,29
87,29
87,29
87,29
87,29
87,29
87,29
87,29
99,29
99,29
133,29
133,29
206,29
226,29
257,29
281,29
35,10
35,10
75,10
114,10
213,10
213,10
50,30
50,30
50,30
50,30
58,30
58,30
58,30
58,30
58,30
58,30
58,30
58,30
58,30
58,30
82,30
82,30
98,30
98,30
98,30
98,30
98,30
106,30
115,30
115,30
115,30
131,30
132,30
132,30
132,30
145,30
145,30
145,30
147,30
147,30
161,30
178,30
188,30
189,30
207,30
223,30
223,30
227,30
227,30
263,30
280,30
290,30
56,31
125,31
125,31
173,31
173,31
208,31
218,31
218,31
218,31
262,31
262,31
277,31
71,18
71,18
176,18
176,18
253,18
74,26
136,26
136,26
136,26
230,26
234,26
294,26
76,27
76,27
76,27
76,27
76,27
103,27
103,27
103,27
103,27
202,27
214,27
214,27
214,27
89,3
138,3
146,3
146,3
146,3
146,3
165,3
165,3
165,3
165,3
193,3
193,3
225,3
283,3
90,32
90,32
90,32
93,32
175,32
175,32
175,32
182,32
182,32
182,32
109,24
109,24
205,24
266,24
192,28
192,28
192,28
229,28
229,28
229,28
247,28
260,28
194,16
232,16
275,16
209,8
233,11
235,11
258,5
272,19
274,7
284,14
284,14
